transaction_type,category,transaction_time,amount,account_name,ledger_name,tag,recorder,remark,original_refund_amount,transaction_id,transaction_date,transaction_month,transaction_week,weekday_name,amount_abs,refund_amount,net_amount,signed_amount,analysis_scope,scene_l1,scene_l2,necessity_type,budget_type,risk_tag,analysis_note,clean_status,is_small_high_freq_scene,rule_large_amount,rule_small_high_freq,rule_budget_out_risk,rule_renewal_management,rule_food_delivery,rule_hit_count,risk_level,hit_rule_names,risk_reason,action_suggestion
支出,水果,2026-5-1 7:17,12.0,美团月付,自用-2605,,月岛雯,西瓜,,TX0001,2026-05-01,2026-05,18,五,12.0,0,12.0,-12.0,日常经营分析,日常水果,水果,弹性支出,预算内,是否实惠,专项分析,已清洗,0.0,0,0,0,0,0,0,暂无明显规则命中,无,当前规则下未发现明显风险命中,保持正常记录，后续继续月度复盘
支出,餐饮,2026-5-1 7:18,5.09,美团月付,自用-2605,水,月岛雯,自己喝,,TX0002,2026-05-01,2026-05,18,五,5.09,0,5.09,-5.09,日常经营分析,餐饮消费,日常饮水,必要支出,预算内,无明显风险,高频刚需消费,已清洗,0.0,0,0,0,0,0,0,暂无明显规则命中,无,当前规则下未发现明显风险命中,保持正常记录，后续继续月度复盘
支出,娱乐,2026-5-1 7:20,13.61,美团月付,自用-2605,五一共青桌游,月岛雯,水果,,TX0003,2026-05-01,2026-05,18,五,13.61,0,13.61,-13.61,日常经营分析,娱乐消费,娱乐吃喝,弹性支出,预算内,无明显风险,专项分析,已清洗,0.0,0,0,0,0,0,0,暂无明显规则命中,无,当前规则下未发现明显风险命中,保持正常记录，后续继续月度复盘
支出,娱乐,2026-5-1 7:20,12.84,美团月付,自用-2605,五一共青桌游,月岛雯,零食,,TX0004,2026-05-01,2026-05,18,五,12.84,0,12.84,-12.84,日常经营分析,娱乐消费,娱乐吃喝,弹性支出,预算内,无明显风险,专项分析,已清洗,0.0,0,0,0,0,0,0,暂无明显规则命中,无,当前规则下未发现明显风险命中,保持正常记录，后续继续月度复盘
支出,娱乐,2026-5-1 7:21,8.57,美团月付,自用-2605,五一共青桌游,月岛雯,甜品,,TX0005,2026-05-01,2026-05,18,五,8.57,0,8.57,-8.57,日常经营分析,娱乐消费,娱乐吃喝,弹性支出,预算内,无明显风险,专项分析,已清洗,0.0,0,0,0,0,0,0,暂无明显规则命中,无,当前规则下未发现明显风险命中,保持正常记录，后续继续月度复盘
支出,快递,2026-5-1 7:23,1.2,美团月付,自用-2605,打包,月岛雯,超市购物,,TX0006,2026-05-01,2026-05,18,五,1.2,0,1.2,-1.2,日常经营分析,超市购物,外卖打包,可控支出,预算外,积少成多,非必要支出,已清洗,0.0,0,0,1,0,0,1,一般关注,预算外风险规则,该交易属于预算外支出，且带有风险或优化标签,建议纳入月度预算复盘，判断是否可提前规划
支出,快递,2026-5-1 7:24,6.0,美团月付,自用-2605,配送,月岛雯,超市购物,,TX0007,2026-05-01,2026-05,18,五,6.0,0,6.0,-6.0,日常经营分析,超市购物,外卖配送,可控支出,预算外,积少成多,非必要支出,已清洗,0.0,0,0,1,0,0,1,一般关注,预算外风险规则,该交易属于预算外支出，且带有风险或优化标签,建议纳入月度预算复盘，判断是否可提前规划
支出,水果,2026-5-1 7:24,4.14,美团月付,自用-2605,,月岛雯,香蕉,,TX0008,2026-05-01,2026-05,18,五,4.14,0,4.14,-4.14,日常经营分析,日常水果,水果,弹性支出,预算内,是否实惠,专项分析,已清洗,0.0,0,0,0,0,0,0,暂无明显规则命中,无,当前规则下未发现明显风险命中,保持正常记录，后续继续月度复盘
支出,娱乐,2026-5-1 19:14,40.0,零钱通,自用-2605,五一共青桌游,月岛雯,交通,,TX0009,2026-05-01,2026-05,18,五,40.0,0,40.0,-40.0,日常经营分析,娱乐消费,娱乐出行,必要支出,预算内,无明显风险,专项分析,已清洗,0.0,0,0,0,0,0,0,暂无明显规则命中,无,当前规则下未发现明显风险命中,保持正常记录，后续继续月度复盘
支出,餐饮,2026-5-2 11:10,23.4,美团月付,自用-2605,外卖,月岛雯,中饭,,TX0010,2026-05-02,2026-05,18,六,23.4,0,23.4,-23.4,日常经营分析,餐饮消费,美食外卖,必要支出,预算内,可优化支出,高频刚需消费,已清洗,0.0,0,0,0,0,1,1,一般关注,外卖频次规则,该交易属于美食外卖，是餐饮高占比的重要驱动场景,建议关注外卖频次，尝试用食堂、做饭或提前备餐替代部分场景
支出,快递,2026-5-2 11:11,3.0,美团月付,自用-2605,打包,月岛雯,中饭,,TX0011,2026-05-02,2026-05,18,六,3.0,0,3.0,-3.0,日常经营分析,餐饮消费,外卖打包,可控支出,预算外,积少成多,非必要支出,已清洗,1.0,0,1,1,0,0,2,重点关注,高频小额规则、预算外风险规则,该场景存在小额高频特征，可能形成隐性累计成本；该交易属于预算外支出，且带有风险或优化标签,建议设置月度频次提醒，避免小额支出积少成多；建议纳入月度预算复盘，判断是否可提前规划
支出,快递,2026-5-2 11:11,1.4,美团月付,自用-2605,配送,月岛雯,中饭,,TX0012,2026-05-02,2026-05,18,六,1.4,0,1.4,-1.4,日常经营分析,餐饮消费,外卖配送,可控支出,预算外,积少成多,非必要支出,已清洗,0.0,0,0,1,0,0,1,一般关注,预算外风险规则,该交易属于预算外支出，且带有风险或优化标签,建议纳入月度预算复盘，判断是否可提前规划
支出,餐饮,2026-5-2 18:41,23.8,美团月付,自用-2605,外卖,月岛雯,晚饭,,TX0013,2026-05-02,2026-05,18,六,23.8,0,23.8,-23.8,日常经营分析,餐饮消费,美食外卖,必要支出,预算内,可优化支出,高频刚需消费,已清洗,0.0,0,0,0,0,1,1,一般关注,外卖频次规则,该交易属于美食外卖，是餐饮高占比的重要驱动场景,建议关注外卖频次，尝试用食堂、做饭或提前备餐替代部分场景
支出,快递,2026-5-2 18:42,1.0,美团月付,自用-2605,打包,月岛雯,晚饭,,TX0014,2026-05-02,2026-05,18,六,1.0,0,1.0,-1.0,日常经营分析,餐饮消费,外卖打包,可控支出,预算外,积少成多,非必要支出,已清洗,1.0,0,1,1,0,0,2,重点关注,高频小额规则、预算外风险规则,该场景存在小额高频特征，可能形成隐性累计成本；该交易属于预算外支出，且带有风险或优化标签,建议设置月度频次提醒，避免小额支出积少成多；建议纳入月度预算复盘，判断是否可提前规划
